branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3dd33b0568dc60a7158f20b43e921986f8de0f0b/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-07-01 16:20:54 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a05fb72eb84e53fa04e162b94720acc43bebdb36/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-07-01 16:20:48 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,fail,fail,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e7a4dcab62870df50f628977a60271a7661e47f1/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-07-01 16:31:55 +0000
develop,cori,intel 19.1.2,mpi 7.7.19,4.6.3 4.4.5,O,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a954c3b57ad25c213af7c41e253c1239103ea606/develop/cori/intel/19.1.2/O/mpi/7.7.19),2022-07-01 07:02:21 -0700
develop,cori,intel 19.1.2,mpi 7.7.19,4.6.3 4.4.5,g,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4c6879e3e69172bbcee87f8096892e3128b1955e/develop/cori/intel/19.1.2/g/mpi/7.7.19),2022-07-01 07:20:15 -0700
develop,cori,intel 19.1.2,mpiuni none,4.6.3 4.4.5,O,Unicos,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d16f3f3222c3e0c11c067e409d17b7a7d80b578a/develop/cori/intel/19.1.2/O/mpiuni/none),2022-07-01 04:42:49 -0700
develop,cori,intel 19.1.2,mpiuni none,4.6.3 4.4.5,g,Unicos,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bb92b2ff594841c823c79cc71528b0049610bf45/develop/cori/intel/19.1.2/g/mpiuni/none),2022-07-01 06:53:23 -0700
develop,hera,pgi 19.1,intelmpi 2019.0.5,N/A N/A,O,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bab8fcce2f035a5072eeef962b76554820cc14a1/develop/hera/pgi/19.1/O/intelmpi/2019.0.5),2022-07-01 12:05:52 +0000
develop,hera,pgi 19.1,intelmpi 2019.0.5,N/A N/A,g,Linux,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8e3ee8bab337c02524df06cb8c71a28debf7da85/develop/hera/pgi/19.1/g/intelmpi/2019.0.5),2022-07-01 12:09:56 +0000
develop,hera,pgi 19.1,mpiuni none,N/A N/A,O,Linux,pass,11516,626,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8843bdcfad568f5817a39a0ce36a0092cbe84b3e/develop/hera/pgi/19.1/O/mpiuni/none),2022-07-01 08:44:42 +0000
develop,hera,pgi 19.1,mpiuni none,N/A N/A,g,Linux,pass,11516,626,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e60481ccddd496a252aba376f3fb8ee43e723352/develop/hera/pgi/19.1/g/mpiuni/none),2022-07-01 08:58:24 +0000
